,case_identifier,inputstate_2016,healthcov2_2016,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
109,6139919,Maryland,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Donald Trump
110,6141527,Arizona,I have private insurance or belong to an HMO.,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
111,6142478,Wisconsin,I have private insurance or belong to an HMO.,4-year,Married,"$50,000 - $59,999",Hillary Clinton
112,6143861,Mississippi,I have private insurance or belong to an HMO.,Some college,Married,"$70,000 - $79,999",Hillary Clinton
113,6152906,Florida,,Some college,Divorced,Prefer not to say,Hillary Clinton
114,6153587,Michigan,I have private insurance or belong to an HMO.,2-year,Divorced,Prefer not to say,Donald Trump
115,6163991,New Jersey,Other,4-year,Domestic partnership,"$80,000 - $99,999",Donald Trump
116,6165803,Tennessee,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Divorced,Prefer not to say,Donald Trump
117,6166322,Georgia,I have private insurance or belong to an HMO.,Some college,Married,"$120,000 - $149,999",Gary Johnson
118,6166706,Wisconsin,I have private insurance or belong to an HMO.,Some college,Married,"$30,000 - $39,999",Other
119,6166907,Connecticut,I have private insurance or belong to an HMO.,Post-grad,Married,"$150,000 or more",Hillary Clinton
120,6167690,Utah,I have private insurance or belong to an HMO.,Some college,Married,"$40,000 - $49,999",Gary Johnson
121,6167720,California,I have private insurance or belong to an HMO.,Some college,Divorced,"$150,000 - $199,999",Hillary Clinton
122,6169340,Nebraska,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$100,000 - $119,999",Hillary Clinton
123,6169358,Texas,I have private insurance or belong to an HMO.,Post-grad,Married,"$150,000 or more",Hillary Clinton
124,6170420,Florida,I have private insurance or belong to an HMO.,4-year,Divorced,Prefer not to say,Donald Trump
125,6170999,Washington,I have private insurance or belong to an HMO.,Some college,Married,Prefer not to say,Donald Trump
126,6173759,Alabama,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$50,000 - $59,999",Hillary Clinton
127,6174257,Pennsylvania,I have private insurance or belong to an HMO.,Post-grad,Single,Prefer not to say,Hillary Clinton
128,6178229,Texas,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Gary Johnson
129,6178985,Indiana,I have private insurance or belong to an HMO.,4-year,Single,"$60,000 - $69,999",Hillary Clinton
130,6179771,New York,I have private insurance or belong to an HMO.,2-year,Domestic partnership,"$70,000 - $79,999",Hillary Clinton
131,6180053,Pennsylvania,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,Prefer not to say,Donald Trump
132,6181898,Mississippi,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Divorced,Prefer not to say,Hillary Clinton
133,6183761,Oregon,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Divorced,"$60,000 - $69,999",Hillary Clinton
134,6184673,New York,I have private insurance or belong to an HMO.,Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
135,6184751,North Carolina,I have private insurance or belong to an HMO.,2-year,Married,"$150,000 - $199,999",Donald Trump
136,6185615,Maryland,I have private insurance or belong to an HMO.,Some college,Married,"$80,000 - $99,999",Donald Trump
137,6188075,Pennsylvania,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Single,Prefer not to say,
138,6188486,South Carolina,I have private insurance or belong to an HMO.,4-year,Single,Prefer not to say,
139,6188504,Connecticut,I have private insurance or belong to an HMO.,2-year,Married,Prefer not to say,Hillary Clinton
140,6191732,New Jersey,I have private insurance or belong to an HMO.,Post-grad,Married,"$250,000 - $349,999",Donald Trump
141,6192383,Minnesota,I have private insurance or belong to an HMO.,Some college,Married,"$120,000 - $149,999",Donald Trump
142,6192560,Ohio,I have private insurance or belong to an HMO.,Post-grad,Married,"$80,000 - $99,999",Donald Trump
143,6194963,Illinois,I have private insurance or belong to an HMO.,Some college,Married,"$100,000 - $119,999",Hillary Clinton
144,6197192,Missouri,I have private insurance or belong to an HMO.,4-year,Married,"$250,000 - $349,999",Donald Trump
145,6197963,New York,I have private insurance or belong to an HMO.,Post-grad,Married,"$500,000 or more",Hillary Clinton
146,6202310,Massachusetts,I have private insurance or belong to an HMO.,Post-grad,Married,"$120,000 - $149,999",Donald Trump
147,6202931,Tennessee,I have private insurance or belong to an HMO.,4-year,Single,"$50,000 - $59,999",Hillary Clinton
148,6203066,Illinois,I have private insurance or belong to an HMO.,4-year,Married,"$200,000 - $249,999",Hillary Clinton
149,6204386,Wisconsin,I have private insurance or belong to an HMO.,4-year,Single,"$100,000 - $119,999",Hillary Clinton
150,6206105,Texas,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$250,000 - $349,999",Donald Trump
151,6208100,Texas,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Hillary Clinton
152,6209570,New York,I have private insurance or belong to an HMO.,Post-grad,Married,"$350,000 - $499,999",Donald Trump
153,6211460,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,"$50,000 - $59,999",Hillary Clinton
154,6216644,Wisconsin,I have private insurance or belong to an HMO.,High school graduate,Married,"$80,000 - $99,999",Donald Trump
155,6216743,Oregon,I have private insurance or belong to an HMO.,2-year,Single,"$40,000 - $49,999",Gary Johnson
156,6217184,Pennsylvania,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Hillary Clinton
157,6218957,Washington,I have private insurance or belong to an HMO.,Post-grad,Married,"$100,000 - $119,999",Donald Trump
158,6219236,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Divorced,"$10,000 - $19,999",Hillary Clinton
159,6219497,Kansas,,Post-grad,Single,"$70,000 - $79,999",Hillary Clinton
160,6220028,Michigan,I have private insurance or belong to an HMO.,4-year,Married,"$60,000 - $69,999",Donald Trump
161,6221858,Ohio,I have private insurance or belong to an HMO.,High school graduate,Married,Prefer not to say,Hillary Clinton
162,6222932,Florida,I have private insurance or belong to an HMO.,2-year,Married,Prefer not to say,Donald Trump
163,6226313,Illinois,,Some college,Single,"$30,000 - $39,999",Hillary Clinton
164,6227495,Oklahoma,Don't know,Some college,Married,"$20,000 - $29,999",Gary Johnson
165,6227969,Florida,I have private insurance or belong to an HMO.,Some college,Married,"$30,000 - $39,999",Donald Trump
166,6229142,Indiana,I have private insurance or belong to an HMO.,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
167,6229352,Kansas,Other,Post-grad,Married,"$150,000 - $199,999",Donald Trump
168,6229544,Georgia,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Donald Trump
169,6229913,Florida,I have private insurance or belong to an HMO.,High school graduate,Married,"$80,000 - $99,999",Gary Johnson
170,6230198,Wisconsin,I have private insurance or belong to an HMO.,Some college,Single,"$10,000 - $19,999",Donald Trump
171,6230408,Illinois,I have private insurance or belong to an HMO.,2-year,Married,"$100,000 - $119,999",Donald Trump
172,6232193,Colorado,I have private insurance or belong to an HMO.,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
173,6232631,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Married,Prefer not to say,Donald Trump
174,6233612,Ohio,I have private insurance or belong to an HMO.,2-year,Divorced,"$40,000 - $49,999",Hillary Clinton
175,6236744,New Mexico,Other,4-year,Married,"$150,000 - $199,999",Hillary Clinton
176,6239744,Georgia,I have private insurance or belong to an HMO.,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
177,6247142,Kentucky,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Donald Trump
178,6247949,North Carolina,I have private insurance or belong to an HMO.,4-year,Single,"$100,000 - $119,999",Hillary Clinton
179,6249251,Utah,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,"$30,000 - $39,999",Hillary Clinton
180,6249485,Minnesota,Other,4-year,Married,"$70,000 - $79,999",Donald Trump
181,6253385,Ohio,I have private insurance or belong to an HMO.,4-year,Married,"$100,000 - $119,999",Other
182,6253928,Idaho,,Some college,Single,"$50,000 - $59,999",Donald Trump
183,6255209,New Jersey,I have private insurance or belong to an HMO.,4-year,Married,"$100,000 - $119,999",Hillary Clinton
184,6262622,New York,I have private insurance or belong to an HMO.,2-year,Single,"$100,000 - $119,999",Hillary Clinton
185,6263354,Ohio,I have private insurance or belong to an HMO.,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
186,6265466,North Carolina,I have private insurance or belong to an HMO.,2-year,Married,"$70,000 - $79,999",Donald Trump
187,6271040,Texas,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Gary Johnson
188,6273704,Texas,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$150,000 - $199,999",Donald Trump
189,6278276,Pennsylvania,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Single,Prefer not to say,
190,6279956,Illinois,I have private insurance or belong to an HMO.,2-year,Single,"$60,000 - $69,999",Hillary Clinton
191,6280574,Pennsylvania,I have private insurance or belong to an HMO.,Some college,Divorced,"$40,000 - $49,999",Donald Trump
192,6281192,Colorado,I have private insurance or belong to an HMO.,4-year,Single,"$70,000 - $79,999",Jill Stein
193,6282716,New Jersey,I have private insurance or belong to an HMO.,4-year,Single,"$200,000 - $249,999",Gary Johnson
194,6282788,Illinois,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Single,"$20,000 - $29,999",Hillary Clinton
195,6285515,Illinois,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,Prefer not to say,Hillary Clinton
196,6285701,Ohio,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Single,"$10,000 - $19,999",Hillary Clinton
197,6287039,Nebraska,I have private insurance or belong to an HMO.,Post-grad,Married,"$80,000 - $99,999",Donald Trump
198,6288212,Minnesota,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Hillary Clinton
199,6288599,Ohio,,Post-grad,Divorced,"$70,000 - $79,999",Hillary Clinton
200,6291113,Pennsylvania,I have private insurance or belong to an HMO.,Post-grad,Married,Prefer not to say,Hillary Clinton
201,6291146,New York,I have private insurance or belong to an HMO.,Post-grad,Single,"$80,000 - $99,999",Donald Trump
202,6291557,Massachusetts,I have private insurance or belong to an HMO.,Some college,Domestic partnership,"$250,000 - $349,999",Hillary Clinton
203,6291608,California,I have private insurance or belong to an HMO.,4-year,Single,"$80,000 - $99,999",Hillary Clinton
204,6293183,New York,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Single,"$10,000 - $19,999",Hillary Clinton
205,6293396,California,I have private insurance or belong to an HMO.,2-year,Separated,"$120,000 - $149,999",Hillary Clinton
206,6294578,South Dakota,I have private insurance or belong to an HMO.,Some college,Married,"$80,000 - $99,999",Donald Trump
207,6299315,Kansas,I have private insurance or belong to an HMO.,4-year,Divorced,"$60,000 - $69,999",Jill Stein
208,6304361,North Carolina,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Hillary Clinton
209,6305450,Pennsylvania,I have private insurance or belong to an HMO.,2-year,Married,"$150,000 - $199,999",Donald Trump
210,6308873,Oregon,I have private insurance or belong to an HMO.,Post-grad,Single,"$70,000 - $79,999",Hillary Clinton
211,6309782,Virginia,I have private insurance or belong to an HMO.,Post-grad,Married,Prefer not to say,Hillary Clinton
212,6309809,Washington,,4-year,Married,Prefer not to say,Donald Trump
213,6310301,Florida,I have private insurance or belong to an HMO.,Some college,Widowed,Prefer not to say,Hillary Clinton
214,6314150,Texas,Other,Post-grad,Married,Prefer not to say,Hillary Clinton
215,6316652,Illinois,I have private insurance or belong to an HMO.,Post-grad,Domestic partnership,"$120,000 - $149,999",Hillary Clinton
216,6316859,Illinois,I have private insurance or belong to an HMO.,Post-grad,Married,"$250,000 - $349,999",Hillary Clinton
217,6319217,California,I have private insurance or belong to an HMO.,High school graduate,Married,"$30,000 - $39,999",Donald Trump
218,6319613,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Widowed,"$20,000 - $29,999",Hillary Clinton
219,6319775,Ohio,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Hillary Clinton
220,6320978,Massachusetts,I have private insurance or belong to an HMO.,High school graduate,Married,"$80,000 - $99,999",Hillary Clinton
221,6322211,New York,I have private insurance or belong to an HMO.,Post-grad,Married,"$120,000 - $149,999",Other
222,6322364,Oregon,I have private insurance or belong to an HMO.,Post-grad,Single,"$120,000 - $149,999",Hillary Clinton
223,6322844,Illinois,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,Prefer not to say,Hillary Clinton
224,6322856,Arizona,I have private insurance or belong to an HMO.,Some college,Divorced,"$50,000 - $59,999",Hillary Clinton
225,6323027,Connecticut,I have private insurance or belong to an HMO.,4-year,Married,"$70,000 - $79,999",Other
226,6325184,Michigan,I have private insurance or belong to an HMO.,Post-grad,Widowed,"$70,000 - $79,999",Donald Trump
227,6325313,Oklahoma,I have private insurance or belong to an HMO.,Some college,Married,"$100,000 - $119,999",Donald Trump
228,6325748,Kentucky,I have private insurance or belong to an HMO.,Post-grad,Married,"$500,000 or more",Donald Trump
229,6326321,Louisiana,I have private insurance or belong to an HMO.,Post-grad,Married,"$120,000 - $149,999",Donald Trump
230,6327818,Georgia,I have private insurance or belong to an HMO.,4-year,Married,"$70,000 - $79,999",Donald Trump
231,6331904,Iowa,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Hillary Clinton
232,6333245,South Dakota,I have private insurance or belong to an HMO.,4-year,Married,"$100,000 - $119,999",Donald Trump
233,6334871,New York,I have private insurance or belong to an HMO.,Some college,Married,"$50,000 - $59,999",Donald Trump
234,6338279,Michigan,I have private insurance or belong to an HMO.,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
235,6338711,North Carolina,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Donald Trump
236,6339260,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Widowed,"$50,000 - $59,999",Donald Trump
237,6339377,Florida,I have private insurance or belong to an HMO.,4-year,Single,"$40,000 - $49,999",Donald Trump
238,6342719,Florida,I have private insurance or belong to an HMO.,High school graduate,Divorced,"$30,000 - $39,999",Donald Trump
239,6345614,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$60,000 - $69,999",Donald Trump
240,6346148,North Dakota,I have private insurance or belong to an HMO.,4-year,Single,Prefer not to say,Donald Trump
241,6348065,Minnesota,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,"$100,000 - $119,999",Donald Trump
242,6348128,Wisconsin,I have private insurance or belong to an HMO.,Some college,Married,"$100,000 - $119,999",Hillary Clinton
243,6359783,Massachusetts,I have private insurance or belong to an HMO.,Post-grad,Married,Prefer not to say,Donald Trump
244,6360410,Washington,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,"$80,000 - $99,999",Hillary Clinton
245,6362912,New Jersey,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,"$100,000 - $119,999",Donald Trump
246,6367046,Maryland,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Divorced,"$20,000 - $29,999",Hillary Clinton
247,6369662,Florida,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Donald Trump
248,6370124,Mississippi,I have private insurance or belong to an HMO.,Some college,Married,"$40,000 - $49,999",Hillary Clinton
249,6370370,Kentucky,I have private insurance or belong to an HMO.,4-year,Divorced,"$200,000 - $249,999",Donald Trump
